Exhibition ID,Exhibition Title,Theme ID,Theme
1, Julie Mehretu. Ensemble ,1,Urban landscapes and architecture
1, Julie Mehretu. Ensemble ,2,Maps and cartography
1, Julie Mehretu. Ensemble ,3,Memory and history
1, Julie Mehretu. Ensemble ,4,"Abstraction, layering and mark-making"
2, Julie Mehretu ,2,Maps and cartography
3, Julie Mehretu ,2,Maps and cartography
4,Unknown,2,Maps and cartography
4,Unknown,4,"Abstraction, layering and mark-making"
5," White Cube London presenta ""Black and Blue"" de Julie Mehretu ",3,Memory and history
6, David Zwirner London presents an exhibition of new work by Julie Mehretu ,4,"Abstraction, layering and mark-making"
7, Julie Mehretu at the Hammer Museum ,4,"Abstraction, layering and mark-making"
8, Julie Mehretu: The Drawings ,1,Urban landscapes and architecture
9, Julie Mehretu: Stadia 2 ,1,Urban landscapes and architecture
10, Julie Mehretu ,4,"Abstraction, layering and mark-making"
10, Julie Mehretu ,3,Memory and history
10, Julie Mehretu ,2,Maps and cartography
11, Julie Mehretu ,6,"Migration, displacement, globalization"
12, Julie Mehretu ,6,"Migration, displacement, globalization"
13, Julie Mehretu ,7,"Race, identify, power"
14, Julie Mehretu ,8,"Timelessness, infinity, mystery"
15, Julie Mehretu ,2,Maps and cartography
16, Julie Mehretu ,2,Maps and cartography
16, Julie Mehretu ,1,Urban landscapes and architecture
16, Julie Mehretu ,4,"Abstraction, layering and mark-making"
17, **Julie Mehretu** ,4,"Abstraction, layering and mark-making"
17, **Julie Mehretu** ,3,Memory and history
18, **Julie Mehretu** ,7,"Race, identify, power"
18, **Julie Mehretu** ,6,"Migration, displacement, globalization"
19, **Julie Mehretu** ,8,"Timelessness, infinity, mystery"
19, **Julie Mehretu** ,1,Urban landscapes and architecture
20, **Julie Mehretu** ,4,"Abstraction, layering and mark-making"
20, **Julie Mehretu** ,1,Urban landscapes and architecture
21, **Julie Mehretu** ,1,Urban landscapes and architecture
21, **Julie Mehretu** ,4,"Abstraction, layering and mark-making"
22, Julie Mehretu ,6,"Migration, displacement, globalization"
22, Julie Mehretu ,7,"Race, identify, power"
23, Stadia II ,1,Urban landscapes and architecture
23, Stadia II ,3,Memory and history
24, Black and Blue ,7,"Race, identify, power"
25, Drawings ,4,"Abstraction, layering and mark-making"
26, The Half-Life of Facts ,3,Memory and history
26, The Half-Life of Facts ,9,Information age and Urban life
27, Spotlight: Julie Mehretu's Abstract Canvases ,2,Maps and cartography
